sl,date,title,link,source,description
1,17.6.2015,‘Focus on works in fluoride-hit areas’,http://www.thehindu.com/news/cities/Hyderabad/focus-on-works-in-fluoridehit-areas/article7324153.ece,Hindu: Cities,Works in Nalgonda district will be prioritised: K.T. Rama Rao
2,17.6.2015,Water Grid to Yield Results in a Year: KTR,http://www.newindianexpress.com/states/telangana/Water-Grid-to-Yield-Results-in-a-Year-KTR/2015/06/17/article2871075.ece,newindianexpress.com,
3,15.6.2015,Harish Rao faults Uma,http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/harish-rao-faults-uma/article7316372.ece,The Hindu: Today\'s Paper,Harish Rao faults Uma
4,15.6.2015,Peddulu can no longer see his dream come true,http://www.thehindu.com/news/national/telangana/peddulu-can-no-longer-see-his-dream-come-true/article7316893.ece,Hindu: News,Fluoride victim and activist who fought for fluoride-free water to Nalgonda is no more
5,15.6.2015,Rahul to meet farmer families in Anantapur,http://www.thehindu.com/news/national/andhra-pradesh/rahul-to-meet-farmer-families-in-anantapur/article7317306.ece,Hindu: Andhra Pradesh,Congress vice-president Rahul Gandhi is expected to visit the Anantapur district in the last week of June to meet families of farmers who have committed suicide.Confirming this to...
6,15.6.2015,Harish Rao faults Uma,http://www.thehindu.com/news/national/andhra-pradesh/harish-rao-faults-uma/article7316373.ece,Hindu: Andhra Pradesh,Irrigation minister T. Harish Rao found fault with the AP Irrigation Minister Devineni Umamaheswara Rao writing a letter to the Centre over the projects taken up by the Telangana State government.<...
7,13.6.2015,"AP canât stop Dindi, Palamuru projects planned in the past: KCR",http://www.thehindu.com/todays-paper/tp-national/tp-telangana/ap-cant-stop-dindi-palamuru-projects-planned-in-the-past-kcr/article7311751.ece,The Hindu: Today\'s Paper,"AP canât stop Dindi, Palamuru projects planned in the past: KCR"
8,13.6.2015,âAP throwing spanners in works related to TS projectsâ,http://www.thehindu.com/todays-paper/tp-national/tp-telangana/ap-throwing-spanners-in-works-related-to-ts-projects/article7311756.ece,The Hindu: Today\'s Paper,âAP throwing spanners in works related to TS projectsâ
9,13.6.2015,‘AP throwing spanners in works related to TS projects’,http://www.thehindu.com/news/cities/Hyderabad/ap-throwing-spanners-in-works-related-to-ts-projects/article7311757.ece,Hindu: News,"Irrigation Minister T. Harish Rao faults AP for moving Centre against Palamuru, Dandi projects"
10,13.6.2015,"AP can’t stop Dindi, Palamuru projects planned in the past: KCR",http://www.thehindu.com/news/national/telangana/ap-cant-stop-dindi-palamuru-projects-planned-in-the-past-kcr/article7311752.ece,Hindu: News,Chief Minister K. Chandrasekhar Rao asserted that the Andhra Pradesh government won’t be able to stop Dindi and Palamuru lift irrigation projects since they were proposed by the combined AP governm...
11,12.6.2015,Government Sanctions Rs 6k Crore for Dindi Project,http://www.newindianexpress.com/states/telangana/Government-Sanctions-Rs-6k-Crore-for-Dindi-Project/2015/06/12/article2862068.ece,newindianexpress.com,"The state government accorded administrative sanction of 6,190 crore for Dindi Lift Irrigation Project on Thursday."
12,12.6.2015,Dindi project gets administrative sanction,http://www.thehindu.com/news/cities/Hyderabad/dindi-project-gets-administrative-sanction/article7307998.ece,Hindu: News,"The State government on Thursday gave administrative sanction for Rs. 6,190 crore to implement the Dindi lift irrigation project that envisages providing drinking and irrigation water to areas badl..."
13,12.6.2015,Government Sanction for Rs 6k Crore Dindi Project,http://www.newindianexpress.com/states/telangana/Government-Sanction-for-Rs-6k-Crore-Dindi-Project/2015/06/12/article2862068.ece,newindianexpress.com,
14,12.6.2015,Govt Sanction for Rs 6k crore Dindi Project,http://www.newindianexpress.com/states/telangana/Govt-Sanction-for-Rs-6k-crore-Dindi-Project/2015/06/12/article2862068.ece,newindianexpress.com,
15,11.6.2015,Call for survey on groundwater reserve,http://www.assamtribune.com/scripts/detailsnew.asp?id=jun1115/city056,The Assam Tribune,Call for survey on groundwater reserve
